timestamp,g_w_hat_MWh,g_w_real_MWh,lambda_S,lambda_I,eta_S,eta_I
2022-07-01 00:00:00,2755.82,3043.25,255.31,217.79,-0.026476414601227845,0.444262
2022-07-01 01:00:00,3458.64,3177.25,252.6,483.96,-0.026476414601227845,0.444262
2022-07-01 02:00:00,3317.8,3255.75,254.64,443.28,-0.026476414601227845,0.444262
2022-07-01 03:00:00,3302.18,3480.75,252.85,345.16,-0.026476414601227845,0.444262
2022-07-01 04:00:00,3980.87,3800.25,252.14,267.22,-0.026476414601227845,0.444262
2022-07-01 05:00:00,4317.55,3967.0,268.06,24.9,-0.026476414601227845,0.444262
2022-07-01 06:00:00,4003.37,3582.75,337.48,120.56,-0.026476414601227845,0.444262
2022-07-01 07:00:00,2621.86,3325.75,359.96,354.06,-0.026476414601227845,0.444262
2022-07-01 08:00:00,2860.6,3073.5,365.98,636.48,-0.026476414601227845,0.444262
2022-07-01 09:00:00,3303.33,3299.5,359.15,563.42,-0.026476414601227845,0.444262
2022-07-01 10:00:00,4333.19,3590.5,342.1,347.14,-0.026476414601227845,0.444262
2022-07-01 11:00:00,4823.17,4484.5,337.08,210.63,-0.026476414601227845,0.444262
2022-07-01 12:00:00,5282.85,5183.0,309.39,5.94,-0.026476414601227845,0.444262
2022-07-01 13:00:00,5589.26,5817.75,285.72,16.15,-0.026476414601227845,0.444262
2022-07-01 14:00:00,5755.54,6680.25,253.38,150.98,-0.026476414601227845,0.444262
2022-07-01 15:00:00,4981.99,5785.5,248.04,63.0,-0.026476414601227845,0.444262
2022-07-01 16:00:00,5564.54,4947.25,209.68,-159.96,-0.026476414601227845,0.444262
2022-07-01 17:00:00,4742.55,4351.25,246.99,175.93,-0.026476414601227845,0.444262
2022-07-01 18:00:00,4102.84,4007.75,274.65,-203.96,-0.026476414601227845,0.444262
2022-07-01 19:00:00,3984.02,3544.75,312.96,-149.85,-0.026476414601227845,0.444262
2022-07-01 20:00:00,3821.33,3357.75,341.63,-13.66,-0.026476414601227845,0.444262
2022-07-01 21:00:00,3681.01,2929.5,339.11,39.56,-0.026476414601227845,0.444262
2022-07-01 22:00:00,2850.19,2444.25,365.8,211.48,-0.026476414601227845,0.444262
2022-07-01 23:00:00,3696.77,2871.5,344.23,-21.1,-0.026476414601227845,0.444262
2022-07-02 00:00:00,3310.9,3423.5,271.47,321.2,-0.03319992053120248,0.498451
2022-07-02 01:00:00,3298.97,3466.5,242.28,393.87,-0.03319992053120248,0.498451
2022-07-02 02:00:00,2586.57,3282.0,225.37,78.85,-0.03319992053120248,0.498451
2022-07-02 03:00:00,2296.61,2793.75,219.2,164.39,-0.03319992053120248,0.498451
2022-07-02 04:00:00,2836.69,2408.0,211.22,66.56,-0.03319992053120248,0.498451
2022-07-02 05:00:00,2142.56,2136.25,203.52,231.44,-0.03319992053120248,0.498451
2022-07-02 06:00:00,1728.44,1751.25,222.18,142.53,-0.03319992053120248,0.498451
2022-07-02 07:00:00,1178.02,1101.5,232.36,426.22,-0.03319992053120248,0.498451
2022-07-02 08:00:00,0.0,778.75,198.2,338.44,-0.03319992053120248,0.498451
2022-07-02 09:00:00,926.8,1009.0,146.4,-233.9,-0.03319992053120248,0.498451
2022-07-02 10:00:00,0.0,1218.0,118.77,101.46,-0.03319992053120248,0.498451
2022-07-02 11:00:00,1840.5,1254.25,108.17,300.47,-0.03319992053120248,0.498451
2022-07-02 12:00:00,1364.03,994.75,84.91,294.74,-0.03319992053120248,0.498451
2022-07-02 13:00:00,954.73,751.0,72.52,-143.29,-0.03319992053120248,0.498451
2022-07-02 14:00:00,696.24,599.5,84.88,278.59,-0.03319992053120248,0.498451
2022-07-02 15:00:00,968.99,482.0,84.72,-0.29,-0.03319992053120248,0.498451
2022-07-02 16:00:00,864.96,512.0,124.57,-110.84,-0.03319992053120248,0.498451
2022-07-02 17:00:00,1013.34,567.25,228.32,-17.89,-0.03319992053120248,0.498451
2022-07-02 18:00:00,73.84,653.0,270.81,79.99,-0.03319992053120248,0.498451
2022-07-02 19:00:00,773.25,820.25,332.54,340.86,-0.03319992053120248,0.498451
2022-07-02 20:00:00,1314.66,1316.25,344.75,470.35,-0.03319992053120248,0.498451
